# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 356, mean track length: 2
131 -8.86031 -3.15705 45.5426 110 87 55 0.118862 1 1084 2 941
132 -8.23793 -3.34002 48.3222 163 132 95 0.0076109 1 1087 2 946
133 -8.27094 -3.11127 48.3882 135 105 71 0.0141615 1 1088 2 947
134 -7.7093 -2.77069 49.5883 177 139 94 0.195461 1 1091 2 1566
135 -6.88676 -2.76842 49.7614 197 154 101 0.0852284 1 1093 2 1567
136 -6.71524 -2.58395 49.842 142 101 52 0.224536 1 1094 2 997
137 -5.60546 -3.01253 49.95 200 161 108 0.0233446 1 1097 2 951
138 -6.04817 -2.93634 49.4563 162 122 73 0.0249375 1 1098 2 356
139 -5.9584 -2.76563 49.8431 196 161 108 0.123454 1 1099 2 1001
140 -6.17763 -2.62203 49.8656 149 114 66 0.0271278 1 1101 2 1000
141 -5.4256 -3.19324 49.5765 189 150 97 0.0816783 1 1103 2 952
142 -4.67254 -3.09874 49.6779 193 155 97 0.0564025 1 1105 2 955
143 -4.92767 -2.92782 50.1308 205 166 111 0.295892 1 1106 2 1572
144 -4.04421 -2.83106 50.1904 157 120 71 0.0876462 1 1108 2 1574
145 -1.63392 -2.51944 51.1786 249 210 158 0.0170277 1 1110 2 1590
146 -1.1819 -2.73983 51.2492 197 149 92 0.14123 1 1112 2 1009
147 -0.30546 -3.27101 51.4744 206 155 92 0.244785 1 1113 2 960
148 -0.329445 -2.88047 51.348 249 207 148 0.0147069 1 1115 2 1010
149 1.24055 -2.47177 51.6747 243 198 137 0.0407953 1 1118 2 1599
150 1.92589 -2.88671 51.5905 121 82 37 0.0470489 1 1119 2 1012
151 2.51254 -2.83556 51.7388 245 198 134 0.0117169 1 1120 2 1013
152 2.98073 -3.19012 51.873 228 177 110 0.0973297 1 1121 2 963
153 3.34385 -3.1631 51.9908 216 166 102 0.0837984 1 1122 2 964
154 3.70506 -2.66761 51.9921 207 159 94 0.0359306 1 1123 2 1604
155 4.20436 -2.5694 52.0828 218 168 96 0.0157109 1 1124 2 1019
156 7.12544 -3.09191 48.985 188 154 111 0.0028443 1 1128 2 972
157 7.12544 -3.09191 48.985 188 154 111 0.0028443 1 1129 2 973
158 6.52542 -2.64747 49.6767 211 174 116 0.00900049 1 1130 2 971
159 6.9557 -2.96925 49.027 225 189 138 0.0767348 1 1131 2 970
160 8.20907 -3.37707 46.1367 244 213 158 0.0325071 1 1136 2 902
161 8.32704 -3.08997 46.1319 229 197 142 0.417637 1 1138 2 936
162 -8.99899 -2.71713 45.8387 182 152 103 0.00201078 1 1149 2 945
163 -6.87427 -1.89347 50.9928 144 105 56 0.0207957 1 1155 2 1036
164 -6.12629 -2.29688 50.4217 114 79 34 0.31396 1 1157 2 1571
165 -5.55091 -1.92673 51.1668 196 157 101 0.0299753 1 1159 2 1043
166 -4.0531 -2.50639 50.3598 156 118 69 0.000268586 1 1160 2 1576
167 -3.3709 -2.38489 51.0099 128 91 45 0.126051 1 1161 2 1582
168 0.793076 -2.44331 51.5041 248 207 152 0.274046 1 1166 2 1596
169 5.09287 -2.39613 52.2685 254 210 145 0.0123143 1 1171 2 1611
170 6.07297 -1.6148 52.4452 186 150 104 0.00874433 1 1176 2 1630
171 6.67886 -1.94778 50.6138 198 157 104 0.359227 1 1178 2 1026
172 6.67886 -1.94778 50.6138 198 157 104 0.359227 1 1179 2 1025
173 6.99649 -1.84122 50.8279 239 203 153 0.164259 1 1180 2 1631
174 -8.50648 -1.69239 49.9587 90 63 40 0.0743217 1 1186 2 1031
175 -8.45095 -1.37414 50.7134 75 46 16 0.0159872 1 1187 2 1637
176 -8.62089 -1.15297 50.6864 71 53 36 0.00245408 1 1188 2 1067
177 -6.13476 -1.48863 51.4267 178 139 93 0.102683 1 1189 2 1642
178 8.17583 -0.989641 49.5099 214 179 131 0.0341905 1 1191 2 1058
179 -8.63679 -0.887044 50.7565 71 51 36 0.137066 1 1206 2 1068
180 -7.30576 -9.38293 49.8675 239 206 155 0.0732811 1 1430 2 697
181 -5.99416 -8.65546 49.5647 176 141 83 0.102659 1 1458 2 700
182 -0.460533 -8.93163 51.8243 255 254 173 0.0975538 1 1461 2 1393
183 -0.68001 -8.74818 51.8425 255 217 134 0.0671772 1 1462 2 1391
184 -0.68001 -8.74818 51.8425 255 217 134 0.0671772 1 1463 2 1392
185 -7.54902 -7.95229 47.8002 187 151 92 0.0311981 1 1491 2 736
